ccode,country_name,ctrycd,kaopen,ka_open
ABW,Aruba,314,-0.6070247037070138,0.30872012249061037
AFG,Afghanistan,512,-1.920277714729309,0
AGO,Angola,614,-1.5694089531898499,0.08248239010572433
ALB,Albania,914,-0.1483880877494812,0.4165366291999817
ANT,Netherlands Antilles,353,-0.10365380998700857,0.4270527859528859
ARE,United Arab Emirates,466,2.333585023880005,1
ARG,Argentina,213,0.6615477932824029,0.6069367279609045
ARM,Armenia,911,1.1655624757210414,0.7254207332928976
ATG,Antigua and Barbuda,311,1.97686767578125,0.9161427219708761
AUS,Australia,193,2.1632359292772083,0.9599542617797852
AUT,Austria,122,1.907712287373013,0.8998856478267245
AZE,Azerbaijan,912,-1.2185401916503906,0.16496478021144867
BDI,Burundi,618,-1.2185401916503906,0.16496478021144867
BEL,Belgium,124,2.1632359292772083,0.9599542617797852
BEN,Benin,638,-0.505105455716451,0.332679346203804
BFA,Burkina Faso,748,-0.505105455716451,0.332679346203804
BGD,Bangladesh,513,-1.1366702848010592,0.1842107954952452
BGR,Bulgaria,918,-1.0652259826660155,0.20100595355033873
BHR,Bahrain,419,2.21467924118042,0.9720475739902921
BHS,"Bahamas, The",313,-1.2068430185317993,0.1677145560582479
BIH,Bosnia and Herzegovina,963,NA,NA
BLR,Belarus,913,-1.6863652070363362,0.05498826007048289
BLZ,Belize,339,-0.505105455716451,0.332679346203804
BOL,Bolivia,218,0.5723221289614836,0.5859615306059519
BRA,Brazil,223,-1.8423068788316515,0.018329420023494296
BRB,Barbados,316,-0.8618228236834208,0.24882206320762634
BTN,Bhutan,514,-1.2185401916503906,0.16496478021144867
BWA,Botswana,616,-0.5320749695723256,0.32633934418360394
CAF,Central African Republic,626,-0.6240112450387743,0.30472691853841144
CAN,Canada,156,2.333585023880005,1
CHE,Switzerland,146,2.333585023880005,1
CHL,Chile,228,-1.6675547195805445,0.05941023429234823
CHN,China,924,-1.4524526993433635,0.10997652014096577
CIV,C?e d'Ivoire,662,-0.8618228236834208,0.24882206320762634
CMR,Cameroon,622,-0.8618228236834208,0.24882206320762634
COG,"Congo, Rep.",634,-1.0996344023280673,0.19291720787684122
COL,Colombia,233,-1.4524526993433635,0.10997652014096577
COM,Comoros,632,-1.2185401916503906,0.16496478021144867
CPV,Cape Verde,624,-1.2185401916503906,0.16496478021144867
CRI,Costa Rica,238,-0.41806692712836796,0.35314039554860854
CYP,Cyprus,423,-0.8618228236834208,0.24882206320762634
CZE,Czech Republic,935,-0.1483880877494812,0.4165366291999817
DEU,Germany,134,2.333585023880005,1
DJI,Djibouti,611,2.333585023880005,1
DMA,Dominica,321,-0.3861996663941277,0.3606317738691966
DNK,Denmark,128,2.2484104765786066,0.9799771308898926
DOM,Dominican Republic,243,-1.297951704925961,0.14629668494065604
DZA,Algeria,612,-1.2185401916503906,0.16496478021144867
ECU,Ecuador,248,-0.3906927655140559,0.3595755315489239
EGY,"Egypt, Arab Rep.",469,-0.7241252064704895,0.2811920841534932
